Zeit von [CET/CEST];Zeit bis [CET/CEST];Preis Erstveröffentlichung [EUR/MWh];Preis 15 min [EUR/MWh];Preis final [EUR/MWh],,,
03.01.2023 15:45:00;03.01.2023 16:00:00;208,54;210,20;212,4
03.01.2023 16:00:00;03.01.2023 16:15:00;244,93;244,93;244,86
03.01.2023 16:15:00;03.01.2023 16:30:00;178,58;176,81;340,63
03.01.2023 16:30:00;03.01.2023 16:45:00;346,14;346,14;346,8
03.01.2023 16:45:00;03.01.2023 17:00:00;324,80;324,80;324,83
03.01.2023 17:00:00;03.01.2023 17:15:00;294,76;294,76;297,18
03.01.2023 17:15:00;03.01.2023 17:30:00;274,11;274,11;271,55
03.01.2023 17:30:00;03.01.2023 17:45:00;71,48;71,48;74,30
03.01.2023 17:45:00;03.01.2023 18:00:00;224,63;224,63;223,20
03.01.2023 18:00:00;03.01.2023 18:15:00;-64,20;-64,20;-69,53
03.01.2023 18:15:00;03.01.2023 18:30:00;44,81;44,81;46,65
03.01.2023 18:30:00;03.01.2023 18:45:00;61,30;61,30;186,27
03.01.2023 18:45:00;03.01.2023 19:00:00;190,78;192,99;189,76
03.01.2023 19:00:00;03.01.2023 19:15:00;221,51;225,07;226,38
03.01.2023 19:15:00;03.01.2023 19:30:00;212,99;215,33;218,74
03.01.2023 19:30:00;03.01.2023 19:45:00;198,72;198,00;197,66
03.01.2023 19:45:00;03.01.2023 20:00:00;161,08;161,64;165,75
03.01.2023 20:00:00;03.01.2023 20:15:00;191,68;202,50;205,22
03.01.2023 20:15:00;03.01.2023 20:30:00;41,08;41,08;192,53
03.01.2023 20:30:00;03.01.2023 20:45:00;153,63;153,62;156,43
03.01.2023 20:45:00;03.01.2023 21:00:00;38,98;38,98;37,63
03.01.2023 21:00:00;03.01.2023 21:15:00;38,02;38,02;38,28
03.01.2023 21:15:00;03.01.2023 21:30:00;-5,61;-5,61;-5,70
03.01.2023 21:30:00;03.01.2023 21:45:00;-15,23;-15,23;-16,24
03.01.2023 21:45:00;03.01.2023 22:00:00;-9,68;-9,68;-8,52
03.01.2023 22:00:00;03.01.2023 22:15:00;222,80;222,80;219,17
03.01.2023 22:15:00;03.01.2023 22:30:00;88,59;88,59;88,69
03.01.2023 22:30:00;03.01.2023 22:45:00;198,67;198,67;189,3
03.01.2023 22:45:00;03.01.2023 23:00:00;19,26;19,26;19,37
03.01.2023 23:00:00;03.01.2023 23:15:00;-48,62;-48,62;-50,32
03.01.2023 23:15:00;03.01.2023 23:30:00;6,22;6,22;8,29
03.01.2023 23:30:00;03.01.2023 23:45:00;-5,32;-5,32;61,3
03.01.2023 23:45:00;04.01.2023 00:00:00;13,31;13,31;126,93
04.01.2023 00:00:00;04.01.2023 00:15:00;-9,34;-9,34;152,29
04.01.2023 00:15:00;04.01.2023 00:30:00;-137,90;-137,90;-139,94
04.01.2023 00:30:00;04.01.2023 00:45:00;-118,34;-118,34;-112,45
04.01.2023 00:45:00;04.01.2023 01:00:00;-9,02;-9,02;-8,19
04.01.2023 01:00:00;04.01.2023 01:15:00;-64,46;-64,46;-76,31
04.01.2023 01:15:00;04.01.2023 01:30:00;-162,48;-162,48;-164,47
04.01.2023 01:30:00;04.01.2023 01:45:00;-69,41;-69,41;-70,11
04.01.2023 01:45:00;04.01.2023 02:00:00;-126,79;-126,79;-125,34
04.01.2023 02:00:00;04.01.2023 02:15:00;259,04;259,04;254,18
04.01.2023 02:15:00;04.01.2023 02:30:00;4,32;4,32;4,32
04.01.2023 02:30:00;04.01.2023 02:45:00;15,75;15,75;15,78
04.01.2023 02:45:00;04.01.2023 03:00:00;5,63;3,58;5,13
04.01.2023 03:00:00;04.01.2023 03:15:00;210,71;210,71;210,69
04.01.2023 03:15:00;04.01.2023 03:30:00;200,86;200,86;193,23
04.01.2023 03:30:00;04.01.2023 03:45:00;171,10;171,10;162,77
04.01.2023 03:45:00;04.01.2023 04:00:00;175,05;175,05;163,63
04.01.2023 04:00:00;04.01.2023 04:15:00;55,53;54,00;59,79
04.01.2023 04:15:00;04.01.2023 04:30:00;69,15;68,22;73,11
04.01.2023 04:30:00;04.01.2023 04:45:00;208,54;208,54;204,68
04.01.2023 04:45:00;04.01.2023 05:00:00;100,61;101,29;98,17
04.01.2023 05:00:00;04.01.2023 05:15:00;-25,47;-25,47;-21,75
04.01.2023 05:15:00;04.01.2023 05:30:00;2,67;2,67;4,26
04.01.2023 05:30:00;04.01.2023 05:45:00;121,64;121,64;113,34
04.01.2023 05:45:00;04.01.2023 06:00:00;1148,44;1148,44;1120,12
04.01.2023 06:00:00;04.01.2023 06:15:00;7,06;7,06;9,86
04.01.2023 06:15:00;04.01.2023 06:30:00;38,89;38,89;38,33
04.01.2023 06:30:00;04.01.2023 06:45:00;18,22;18,22;16,67
04.01.2023 06:45:00;04.01.2023 07:00:00;94,35;94,35;94,47
04.01.2023 07:00:00;04.01.2023 07:15:00;48,62;48,62;47,84
04.01.2023 07:15:00;04.01.2023 07:30:00;0,00;0,00;0,0
04.01.2023 07:30:00;04.01.2023 07:45:00;103,49;103,49;316,73
04.01.2023 07:45:00;04.01.2023 08:00:00;101,40;101,40;92,91
04.01.2023 08:00:00;04.01.2023 08:15:00;-22,57;-22,57;-22,42
04.01.2023 08:15:00;04.01.2023 08:30:00;13,90;13,90;15,6
04.01.2023 08:30:00;04.01.2023 08:45:00;5,16;5,16;5,1
04.01.2023 08:45:00;04.01.2023 09:00:00;9,73;9,73;10,10
04.01.2023 09:00:00;04.01.2023 09:15:00;35,97;35,97;37,3
04.01.2023 09:15:00;04.01.2023 09:30:00;12,36;12,36;12,67
04.01.2023 09:30:00;04.01.2023 09:45:00;8,80;8,80;9,87
04.01.2023 09:45:00;04.01.2023 10:00:00;8,36;8,36;9,32
04.01.2023 10:00:00;04.01.2023 10:15:00;10,13;10,13;16,94
04.01.2023 10:15:00;04.01.2023 10:30:00;15,25;15,25;147,51
04.01.2023 10:30:00;04.01.2023 10:45:00;21,55;21,55;25,33
04.01.2023 10:45:00;04.01.2023 11:00:00;22,47;22,47;25,28
04.01.2023 11:00:00;04.01.2023 11:15:00;40,00;40,00;40,0
04.01.2023 11:15:00;04.01.2023 11:30:00;80,14;80,14;94,16
